name,countries,categories,currency,denominations,discount,expiry,url
"Weber Germany","DE","food-and-drink; home","EUR","25; 50; 100","6","30 months","https://assets.tillo.io/images/brands/vouchers/330x214/weber-de.jpg"
"HelloFresh","GB","food-and-drink","GBP","15; 25; 30; 45; 55","10","12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/hello-fresh.jpg"
"Blacksocks Germany","DE","fashion; jewellery","EUR","10; 15; 20; 50","14","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/blacksocks-de.jpg"
"Rumbo Spain Travel Gift Card","ES","travel-and-leisure","EUR","10; 25; 50; 100; 250","7.5","12 months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/rumbo-es.jpg"
"QC Terme Italy","IT","travel-and-leisure","EUR","59; 64; 72; 126; 170; 220; 340","9","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/qc-terme-it.jpg"
"lastminute.com Netherlands Holiday Gift Card - Flight + Hotel Packages","NL","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000","5.5","12 Months from Activation","https://assets.tillo.io/images/brands/vouchers/330x214/lastminute-holiday-nl.jpg"
"Falconeri Germany","DE","fashion","EUR","30; 50; 75; 100; 150; 200; 250","5.5","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/falconeri-de.jpg"
"Prenatal Spain","ES","baby","EUR","25; 50","6","2 years","https://assets.tillo.io/images/brands/vouchers/330x214/prenatal-es.jpg"
"Maisons du Monde Spain","ES","home","EUR","20; 50; 100; 200; 500","7","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/maisons-du-monde-es.jpg"
"Q8 Italy","IT","cars; other","EUR","10; 25; 50; 100","0.5","12 months","https://assets.tillo.io/images/brands/vouchers/330x214/q8-it.jpg"
"Spotify Austria","AT","music","EUR","11; 33; 66","5","No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/spotify-austria.jpg"
"Dots.eco - Clean 1 LB of Ocean Plastic UK","GB","charity","GBP","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000","38","N/A","https://assets.tillo.io/images/brands/vouchers/330x214/clean-ocean-plastic-uk.jpg"
"Swarovski Germany","DE","fashion; jewellery","EUR","15; 25; 40; 50","12","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/swarovski-de.jpg"
"Fashioncheque UK","GB","fashion","GBP","10; 25; 50; 100; 250","8","4 Years","https://assets.tillo.io/images/brands/vouchers/330x214/fashioncheque-uk.jpg"
"Harvester","GB","food-and-drink","GBP","10; 25; 50; 100; 250","12","2 years from last load.","https://assets.tillo.io/images/brands/vouchers/330x214/harvester.jpg"
"Smartbox Spain","ES","travel-and-leisure","EUR","10; 50; 100","11","6 months","https://assets.tillo.io/images/brands/vouchers/330x214/smartbox-es.jpg"
"DAZN Germany","DE","gaming; sports","EUR","45; 420","4","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/dazn-de.jpg"
"Inspire Travel Italy","IT","travel-and-leisure","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000","6","18 Months","https://assets.tillo.io/images/brands/vouchers/330x214/inspire-travel-it.jpg"
"Maisons du Monde Italy","IT","home","EUR","20; 50; 100; 200; 500","7","1 year","https://assets.tillo.io/images/brands/vouchers/330x214/maisons-du-monde-it.jpg"
"toom Baumarkt Germany","DE","home","EUR","10; 15; 20; 25; 40; 44; 50; 100","6","3 years","https://assets.tillo.io/images/brands/vouchers/330x214/toom-baumarkt-de.jpg"
