name,countries,categories,currency,denominations,discount,expiry,url
"National Book Tokens Ireland","IE","books","EUR","10; 25; 50; 100; 250",10,"8 years","https://assets.tillo.io/images/brands/vouchers/330x214/national-book-tokens-ireland.jpg"
"Urban Pubs UK","GB","food-and-drink; travel-and-leisure","GBP","10; 25; 50; 100; 250; 500",9,"12 Months","https://assets.tillo.io/images/brands/vouchers/330x214/urban-pubs-uk.jpg"
"United Colors of Benetton Italy","IT","fashion","EUR","25",4,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/united-colors-of-benetton-it.jpg"
"Eat the World Germany","DE","food-and-drink","EUR","15; 25; 50",9,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/eat-the-world-de.jpg"
"RentacarGift DE","DE","cars","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"36 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/rentacargift-de.jpg"
"The Golf Gift Card","GB","fashion; sports; travel-and-leisure","GBP","25; 50; 100; 250",6,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/the-golf-gift-card-new-uk.jpg"
"Prenatal Portugal","PT","baby","EUR","25; 50",5,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/prenatal-pt.jpg"
"Die moderne Germany","DE","baby; home; toys","EUR","15; 25; 50",6,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/die-moderne-de.jpg"
"Dots.eco - Protect 10 sqm of Marine Habitat EUR","IE; AT; BE; HR; CY; EE; FI; FR; DE; GR; IT; LV; LT; LU; MT; NL; PT; SK; SI; ES","charity","EUR","10; 25; 50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",31,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/protect-marine-eur.jpg"
"RentacarGift IE","IE","cars","EUR","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"60 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/rentacargift-ie.jpg"
"smartsteuer Germany","DE","electronics","EUR","10; 15; 25",8,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/smartsteuer-de.jpg"
"HotelsGift","GB","travel-and-leisure","GBP","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/hotelsgift.jpg"
"Street One Germany","DE","fashion; jewellery","EUR","10; 20; 25; 50; 100",9,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/street-one-de.jpg"
"SUSHI BIKES Germany","DE","cars; sports","EUR","25; 50; 100; 250",5,"2 years","https://assets.tillo.io/images/brands/vouchers/330x214/sushi-bikes-de.jpg"
"Gourmetfleisch Germany","DE","food-and-drink","EUR","15; 25; 50",7,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/gourmetfleisch-de.jpg"
"konfetti Germany","DE","beauty; books; craft; music; travel-and-leisure","EUR","25; 50; 100",7,"30 months","https://assets.tillo.io/images/brands/vouchers/330x214/konfetti-de.jpg"
"RTL+ Germany","DE","gaming","EUR","15; 25; 50",6,"35 months","https://assets.tillo.io/images/brands/vouchers/330x214/rtl-de.jpg"
"Urban","GB","travel-and-leisure","GBP","10; 25; 50; 100; 250",10,"12 months after date of purchase","https://assets.tillo.io/images/brands/vouchers/330x214/urban-massage.jpg"
"AirlineGift","GB","travel-and-leisure","GBP","50; 100; 250; 500; 1000; 2000; 3000; 4000; 5000",7.5,"12 months from activation or last use","https://assets.tillo.io/images/brands/vouchers/330x214/airlinegift.jpg"
"Spotify Italy","IT","music","EUR","11; 33; 66",5,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/spotify-it.jpg"
"The Hotel Card","GB","travel-and-leisure","GBP","25; 50; 100; 250",12.5,"5 years. Expiry date can be extended. Expired cards can be re-activated.","https://assets.tillo.io/images/brands/vouchers/330x214/the-hotel-card.jpg"
"Rituals Germany","DE","beauty; home","EUR","10; 25; 50; 100",10,"No expiry","https://assets.tillo.io/images/brands/vouchers/330x214/rituals-de.jpg"
"TOYS CENTER Italy","IT","toys","EUR","25; 50; 100",6,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/toys-center-it.jpg"
"Cineworld UK","GB","travel-and-leisure; tv-and-movies","GBP","10; 25; 50; 100; 250",10,"12 months from purchase","https://assets.tillo.io/images/brands/vouchers/330x214/cineworld-uk.jpg"
"Footasylum","GB","fashion","GBP","10; 25; 50; 100; 250",5,"12 Months from activation","https://assets.tillo.io/images/brands/vouchers/330x214/footasylum.jpg"
"NaturaSi Italy","IT","food-and-drink; supermarket","EUR","25; 50; 100; 200; 500",3.5,"12 months","https://assets.tillo.io/images/brands/vouchers/330x214/naturasi-it.jpg"
"Domino's Pizza Germany","DE","food-and-drink","EUR","10; 15; 25; 50",12,"32 months","https://assets.tillo.io/images/brands/vouchers/330x214/dominos-pizza-de.jpg"
"Ravensburger Germany","DE","baby; toys","EUR","10; 15; 25; 50",7,"3 years","https://assets.tillo.io/images/brands/vouchers/330x214/ravensburger-de.jpg"
"Decathlon Belgium","BE","fashion; sports","EUR","10; 20; 50; 100",3,"No Expiry","https://assets.tillo.io/images/brands/vouchers/330x214/decathlon-be.jpg"
"Lieferando Austria","AT","food-and-drink","EUR","10; 25; 50; 100",5.5,"N/A","https://assets.tillo.io/images/brands/vouchers/330x214/lieferando-at.jpg"
